category,taxon,n_present,n_gthalf,n_gtqrtr,pct_present,pct_gthalf,pct_gtqrtr
Fruits/nuts,Punica sp.,1,0,0,0.32,0,0
Fruits/nuts,Rosa sp.,1,0,0,0.32,0,0
Fruits/nuts,Rubus sanguineus,1,0,0,0.32,0,0
Fruits/nuts,Tamarix aphylla,1,0,0,0.32,0,0
Fruits/nuts,Vitex agnus-castus,1,0,0,0.32,0,0
Fruits/nuts,Amygdalus communis,0,0,0,0,0,0
Fruits/nuts,Cedrus libani,0,0,0,0,0,0
Fruits/nuts,Crataegus azarolus,0,0,0,0,0,0
Fruits/nuts,Crataegus monogyna,0,0,0,0,0,0
Fruits/nuts,Fraxinus sp.,0,0,0,0,0,0
Fruits/nuts,Juniperus sp.,0,0,0,0,0,0
Fruits/nuts,Malus sp.,0,0,0,0,0,0
Fruits/nuts,Phoenix dactylifera,0,0,0,0,0,0
Fruits/nuts,Prunus dulcis,0,0,0,0,0,0
Fruits/nuts,Prunus microcarpa,0,0,0,0,0,0
Fruits/nuts,Quercus infectoria,0,0,0,0,0,0
Fruits/nuts,Rubus fruticosus,0,0,0,0,0,0
Fruits/nuts,Tamarix nilotica,0,0,0,0,0,0
Fruits/nuts,Ziziphus sp.,0,0,0,0,0,0
Fruits/nuts,Ziziphus spina-christi,0,0,0,0,0,0
Grasses,Triticum sp.,185,26,56,60.06,8.44,18.18
Grasses,Hordeum sp.,153,4,15,49.68,1.3,4.87
Grasses,Triticum dicoccum,115,2,15,37.34,0.65,4.87
Grasses,Lolium sp.,94,0,8,30.52,0,2.6
Grasses,Hordeum vulgare,91,4,7,29.55,1.3,2.27
Grasses,Bromus sp.,77,0,0,25,0,0
Grasses,Aegilops sp.,68,0,2,22.08,0,0.65
Grasses,Triticum monococcum,62,0,2,20.13,0,0.65
Grasses,Hordeum spontaneum,61,2,5,19.81,0.65,1.62
Grasses,Phalaris sp.,61,0,1,19.81,0,0.32
Grasses,Stipa sp.,44,0,0,14.29,0,0
Grasses,Avena sp.,39,0,0,12.66,0,0
Grasses,Eremopyrum sp.,32,0,1,10.39,0,0.32
Grasses,Triticum boeoticum,29,1,1,9.42,0.32,0.32
Grasses,Hordeum distichum,27,3,10,8.77,0.97,3.25
Grasses,Taeniatherum sp.,15,0,0,4.87,0,0
Grasses,Echinaria sp.,13,0,0,4.22,0,0
Grasses,Eragrostis sp.,10,0,0,3.25,0,0
Grasses,Lolium temulentum,10,0,1,3.25,0,0.32
Grasses,Secale sp.,10,0,0,3.25,0,0
Grasses,Secale cereale,9,0,0,2.92,0,0
Grasses,Setaria sp.,9,0,0,2.92,0,0
Grasses,Triticum aestivum,9,0,0,2.92,0,0
Grasses,Agrostis sp.,8,0,1,2.6,0,0.32
Grasses,Triticum dicoccoides,8,0,0,2.6,0,0
Grasses,Brachypodium distachyon,7,0,0,2.27,0,0
Grasses,Crypsis sp.,7,0,0,2.27,0,0
Grasses,Phleum sp.,7,0,0,2.27,0,0
Grasses,Hordeum bulbosum,6,0,0,1.95,0,0
Grasses,Hordeum murinum,6,0,1,1.95,0,0.32
Grasses,Taeniatherum caput-medusae,6,0,0,1.95,0,0
Grasses,Avena sterilis,5,0,1,1.62,0,0.32
Grasses,Lolium rigidum,5,0,0,1.62,0,0
Grasses,Phalaris paradoxa,5,0,0,1.62,0,0
Grasses,Phragmites australis,5,0,0,1.62,0,0
Grasses,Poa bulbosa,5,0,0,1.62,0,0
Grasses,Triticum durum,5,0,0,1.62,0,0
Grasses,Aegilops crassa,4,0,0,1.3,0,0
Grasses,Cutandia sp.,4,0,0,1.3,0,0
Grasses,Poa sp.,4,0,0,1.3,0,0
Grasses,Bromus sterilis,3,0,0,0.97,0,0
Grasses,Crithopsis delileana,3,0,0,0.97,0,0
Grasses,Cynodon sp.,3,0,0,0.97,0,0
Grasses,Henrardia pubescens,3,0,0,0.97,0,0
Grasses,Lolium remotum,3,0,0,0.97,0,0
Grasses,Secale montanum,3,0,0,0.97,0,0
Grasses,Triticum aestivocompactum,3,0,0,0.97,0,0
Grasses,Triticum spelta,3,0,0,0.97,0,0
Grasses,Vulpia sp.,3,0,0,0.97,0,0
Grasses,Aegilops speltoides,2,0,0,0.65,0,0
Grasses,Avena fatua,2,0,0,0.65,0,0
Grasses,Elymus sp.,2,0,0,0.65,0,0
Grasses,Eremopyrum bonaepartis,2,0,0,0.65,0,0
